action,id,name,slug,image_filename,image_size,reason,new_slug
KEEP,12377,MO - American Heart Association Winning Women,mo-american-heart-association-winning-women-v1,mo-american-heart-association-winning-women.png,17945,"equal size (17945 bytes) — new uses preferred "" - "" format",mo-american-heart-association-winning-women
DEACTIVATE,4074,MO-American Heart Association-Winning Women,mo-american-heart-association-winning-women,mo-american-heart-association-winning-women.gif,17945,"equal size (17945 bytes) — new uses preferred "" - "" format",
KEEP,12431,MO - American Legion,mo-american-legion-v1,mo-american-legion.png,28519,"equal size (28519 bytes) — new uses preferred "" - "" format",mo-american-legion
DEACTIVATE,4075,MO-American Legion,mo-american-legion,mo-american-legion.gif,28519,"equal size (28519 bytes) — new uses preferred "" - "" format",
KEEP,12342,MO - Arkansas Alumni Go Hogs,mo-arkansas-alumni-go-hogs-v1,mo-arkansas-alumni-go-hogs.png,26974,"equal size (26974 bytes) — new uses preferred "" - "" format",mo-arkansas-alumni-go-hogs
DEACTIVATE,4076,MO-Arkansas Alumni-Go Hogs!,mo-arkansas-alumni-go-hogs,mo-arkansas-alumni-go-hogs.gif,26974,"equal size (26974 bytes) — new uses preferred "" - "" format",
KEEP,12432,MO - Armed Forces Expeditionary Medal,mo-armed-forces-expeditionary-medal-v1,mo-armed-forces-expeditionary-medal.png,35502,"equal size (35502 bytes) — new uses preferred "" - "" format",mo-armed-forces-expeditionary-medal
DEACTIVATE,4187,MO-Armed Forces Expeditionary Medal,mo-armed-forces-expeditionary-medal,mo-armed-forces-expeditionary-medal.gif,35502,"equal size (35502 bytes) — new uses preferred "" - "" format",
KEEP,12433,MO - Army,mo-army-v1,mo-army.png,33926,"equal size (33926 bytes) — new uses preferred "" - "" format",mo-army
DEACTIVATE,4188,MO-Army,mo-army,mo-army.gif,33926,"equal size (33926 bytes) — new uses preferred "" - "" format",
KEEP,12378,MO - Back The Blue,mo-back-the-blue-v1,mo-back-the-blue.png,113977,new image larger (113977 vs 38727 bytes),mo-back-the-blue
DEACTIVATE,4077,MO-Back the Blue,mo-back-the-blue,mo-back-the-blue.gif,38727,new image larger (113977 vs 38727 bytes),
KEEP,12343,MO - Baptist Bible College,mo-baptist-bible-college-v1,mo-baptist-bible-college.png,25147,"equal size (25147 bytes) — new uses preferred "" - "" format",mo-baptist-bible-college
DEACTIVATE,4153,MO-Baptist Bible College,mo-baptist-bible-college,mo-baptist-bible-college.gif,25147,"equal size (25147 bytes) — new uses preferred "" - "" format",
KEEP,12379,MO - Be An Organ Donor,mo-be-an-organ-donor-v1,mo-be-an-organ-donor.png,109181,new image larger (109181 vs 28137 bytes),mo-be-an-organ-donor
DEACTIVATE,4078,MO-Be An Organ Donor,mo-be-an-organ-donor,mo-be-an-organ-donor.gif,28137,new image larger (109181 vs 28137 bytes),
KEEP,12380,MO - Breast Cancer Awareness,mo-breast-cancer-awareness-v1,mo-breast-cancer-awareness.png,93946,new image larger (93946 vs 29257 bytes),mo-breast-cancer-awareness
DEACTIVATE,4079,MO-Breast Cancer Awareness,mo-breast-cancer-awareness,mo-breast-cancer-awareness.gif,29257,new image larger (93946 vs 29257 bytes),
KEEP,12435,MO - Bronze Star,mo-bronze-star-v1,mo-bronze-star.png,25183,"equal size (25183 bytes) — new uses preferred "" - "" format",mo-bronze-star
DEACTIVATE,4189,MO-Bronze Star,mo-bronze-star,mo-bronze-star.gif,25183,"equal size (25183 bytes) — new uses preferred "" - "" format",
KEEP,12434,MO - Bronze Star Valor,mo-bronze-star-valor-v1,mo-bronze-star-valor.png,25199,"equal size (25199 bytes) — new uses preferred "" - "" format",mo-bronze-star-valor
DEACTIVATE,4190,MO-Bronze Star Valor,mo-bronze-star-valor,mo-bronze-star-valor.gif,25199,"equal size (25199 bytes) — new uses preferred "" - "" format",
KEEP,12335,MO - Cave State,mo-cave-state-v1,mo-cave-state.png,26598,"equal size (26598 bytes) — new uses preferred "" - "" format",mo-cave-state
DEACTIVATE,4080,MO-Cave State,mo-cave-state,mo-cave-state.gif,26598,"equal size (26598 bytes) — new uses preferred "" - "" format",
KEEP,12344,MO - Central Methodist University,mo-central-methodist-university-v1,mo-central-methodist-university.png,18795,"equal size (18795 bytes) — new uses preferred "" - "" format",mo-central-methodist-university
DEACTIVATE,4154,MO-Central Methodist University,mo-central-methodist-university,mo-central-methodist-university.gif,18795,"equal size (18795 bytes) — new uses preferred "" - "" format",
KEEP,12382,MO - Childrens Trust Fund,mo-childrens-trust-fund-v1,mo-childrens-trust-fund.png,90774,new image larger (90774 vs 22061 bytes),mo-childrens-trust-fund
DEACTIVATE,4081,MO-Childrens Trust Fund,mo-childrens-trust-fund,mo-childrens-trust-fund.gif,22061,new image larger (90774 vs 22061 bytes),
KEEP,12383,MO - Choose Life,mo-choose-life-v1,mo-choose-life.png,25785,"equal size (25785 bytes) — new uses preferred "" - "" format",mo-choose-life
DEACTIVATE,4082,MO-Choose Life,mo-choose-life,mo-choose-life.gif,25785,"equal size (25785 bytes) — new uses preferred "" - "" format",
KEEP,12436,MO - Civil Air Patrol,mo-civil-air-patrol-v1,mo-civil-air-patrol.png,32563,"equal size (32563 bytes) — new uses preferred "" - "" format",mo-civil-air-patrol
DEACTIVATE,4191,MO-Civil Air Patrol,mo-civil-air-patrol,mo-civil-air-patrol.gif,32563,"equal size (32563 bytes) — new uses preferred "" - "" format",
KEEP,12437,MO - Coast Guard,mo-coast-guard-v1,mo-coast-guard.png,29985,"equal size (29985 bytes) — new uses preferred "" - "" format",mo-coast-guard
DEACTIVATE,4192,MO-Coast Guard,mo-coast-guard,mo-coast-guard.gif,29985,"equal size (29985 bytes) — new uses preferred "" - "" format",
KEEP,12345,MO - Columbia College,mo-columbia-college-v1,mo-columbia-college.png,28277,"equal size (28277 bytes) — new uses preferred "" - "" format",mo-columbia-college
DEACTIVATE,4155,MO-Columbia College,mo-columbia-college,mo-columbia-college.gif,28277,"equal size (28277 bytes) — new uses preferred "" - "" format",
KEEP,12439,MO - Combat Action,mo-combat-action-v1,mo-combat-action.png,37558,"equal size (37558 bytes) — new uses preferred "" - "" format",mo-combat-action
